"source","target","sectionlength"
"FR0000004430","FR0000001293","17.134"
"FR9900002863","FR0000008712","13.242"
"FR0000005597","FR0000006452","2.352"
"FR0000003680","FR0000008277","0.142"
"FR9900003016","FR0000003492","0.245"
"FR0000001251","FR0000003678","6.097"
"FR0000008225","FR9900002867","0.344"
"FR0000009387","FR9900002493","0.876"
"FR0000001168","FR0000005571","0.429"
"FR0000001703","FR0000000230","2.371"
"FR0000001069","FR0000001703","0.149"
"FR0000003499","FR0000003777","3.21"
"FR9900002526","FR0000008348","3.463"
"FR0000003492","FR9900002526","0.246"
"FR0000000230","FR0000005239","12.304"
"FR0000000171","FR0000001168","1.259"
"FR0000006760","FR0000000171","0.248"
"FR9900002962","FR0000008225","3.417"
"FR0000003678","FR0000002178","7.512"
"FR0000005571","FR0000006000","0.932"
"FR0000005571","FR9900003016","0.0"
"FR0000003777","FR0000009387","3.339"
"FR0000008348","FR0000001069","0.009"
"FR9900002493","FR0000006482","0.031"
"FR0000022997","FR0000001251","1.046"
"FR0000006482","FR0000006760","0.222"
"FR0000008277","FR9900002962","0.666"
"FR0000002178","FR0000005554","9.423"
"FR0000014999","FR9900001101","0.143"
"FR0000001477","FR0000009057","0.1"
"FR0000009057","FR0000014999","0.512"
"FR0000010934","FR0000000296","0.502"
"FR0000015914","FR0000003237","0.09"
"FR0000003237","FR0000010934","0.03"
"FR0000000296","FR0000008999","6.133"
"FR0000006062","FR0000010934","0.0"
"FR9900001438","FR0000016010","0.152"
"FR0000014928","FR9900001438","0.044"
"FR0000007589","FR0000014928","0.235"
"FR0000008999","FR0000014928","0.0"
"FR0000008999","FR0000007589","0.135"
"FR0000005234","FR0000003956","5.113"
"FR0000009605","FRZZY0000002","0.11"
"FR0000001267","FR0000000655","4.114"
"FR0000005871","FR0000002915","0.132"
"FR0000000655","FR0000003198","2.981"
"FR0000003198","FR0000009174","0.171"
"FR0000009174","FR0000000553","0.061"
"FR0000000553","FR0000002164","3.107"
