TRACK_NUM;DIRECTION;KM_I;KM_L;DESCRIPTION;UNIT_KIND;SHORTCUT;GK_R_DGN;GK_H_DGN;LAT;LONG
1130;0;100180000;1,8 + 0;Luebeck Main Station;St;ALR;3608977,041;5970671,85;53,85559344;10,65504652
1131;0;100430048;4,3 + 48;Strecknitz;Swch;ASTR;3611780,712;5969272,689;53,84243299;10,69712707
1131;0;100840095;8,4 + 95;Brandenbaum;Swch;ABRM;3614847,444;5970534,036;53,85309253;10,74416736
1131;0;101230000;12,3 + 0;Luebeck Schlutuper Tannen;CoPt;ALRT;3616623,361;5973315,789;53,87767824;10,77219748
1131;0;101400067;14,0 + 67;Luebeck-Schlutup;St;ALSC;3618119,368;5974259,608;53,88581594;10,79529645
1150;0;113150071;131,5 + 71;Lueneburg;St;ALBG;3594849,705;5902915,249;53,24975585;10,41989698
1150;0;113590026;135,9 + 26;Adendorf;St;AADF;3597073,318;5906599,754;53,28245086;10,45432227
1150;0;114410040;144,1 + 40;Echem;Sp;AECH;3602464,845;5912788,293;53,33702445;10,53712459
1150;0;114850040;148,5 + 40;Lauenburg (Elbe);St;ALAU;3604397,701;5916433,449;53,36938795;10,56733093
1150;0;115580098;155,8 + 98;Dalldorf;St;ADA;3607088,598;5922977,749;53,42762954;10,60995936
1150;0;116130038;161,3 + 38;Buechen;St;ABCH;3607810,332;5928289,395;53,47518977;10,62263059
1151;0;117560020;175,6 + 20;Dannenberg Ost;St;ADB;3641934,768;5887966,169;53,10503675;11,1182565
1151;0;118250013;182,5 + 13;Hitzacker;Sp Bk;AHZ;3636472,981;5891615,154;53,13922757;11,03830796
1151;0;119200053;192,0 + 53;Leitstade;Sp;ALE;3627977,366;5894716,128;53,16918119;10,91266761
1151;0;119620050;196,2 + 50;Goehrde;Sp;AGH;3623913,259;5894464,245;53,16787917;10,85182986
1151;0;120240047;202,4 + 47;Neetzendorf;Sp;ANEZ;3617819,515;5893852,153;53,16376322;10,76052883
1151;0;120590064;205,9 + 64;Dahlenburg;St;ADL;3614340,242;5894389,418;53,16934613;10,70872333
1151;0;121170091;211,7 + 91;Bavendorf;Sp;ASt;3608994,777;5896289,081;53,18752848;10,62946935
1151;0;121690011;216,9 + 11;Vastorf;Sp;AVF;3604028,468;5897471,598;53,19914297;10,55558653
1151;0;122360080;223,6 + 80;Wendisch Evern;Sp;AWE;3597774,797;5899398,562;53,21763697;10,46262792
1153;0;113740088;137,4 + 88;Bardowick Sp;Sp;ABAW;3591510,53;5907402,673;53,29065116;10,37117488
1153;0;114350090;143,5 + 90;Radbruch;Sp;ARH;3586126,79;5910268,028;53,31729177;10,29123851
1153;0;115050055;150,5 + 55;Winsen (Luhe);St;AWI;3580446,114;5914252,999;53,35398229;10,20702873
1153;0;115490064;154,9 + 64;Ashausen;Sp;AASN;3576329,375;5915811,713;53,36859425;10,14559143
1201;0;116200004;162,0 + 4;Niebuell;St;ANB;3489453,753;6073372,887;54,7895483;8,83487386
1201;0;116230019;162,3 + 19;Niebuell DB-Grenze;Bp;ANBG;3489443,864;6073687,485;54,79237417;8,83470861
1204;0;100460034;4,6 + 34;Hoern;Swch;AHOE;3504221,367;6033962,573;54,43560289;9,06388373
1204;0;101180031;11,8 + 31;Witzwort;Sp;AWRT;3499947,402;6028408,487;54,3857232;8,99802022
1204;0;101530054;15,3 + 54;Harblek;Sp;AHA;3497630,589;6025754,45;54,36187398;8,96238101
1204;0;102110056;21,1 + 56;Toenning;St;ATG;3496006,793;6020434,834;54,31407293;8,93747416
1205;0;102550051;25,5 + 51;Kating;Sp;AKTO;3491729,891;6021779,608;54,32610225;8,87171991
1205;0;102840043;28,4 + 43;Katharinenheerd;Sp;AKAD;3489030,284;6022678,839;54,33412955;8,83019384
1205;0;103150026;31,5 + 26;Garding;Sp;AGD;3486048,76;6021906,22;54,32711528;8,7843955
1205;0;103320024;33,2 + 24;Sandwehle;Sp;ASDW;3484369,408;6021755,389;54,32571137;8,75859138
1205;0;103640064;36,4 + 64;Tating;Sp;ATAT;3481153,611;6021444,961;54,32281355;8,70918532
1205;0;104090095;40,9 + 95;Bad St Peter Sued;Sp;APSD;3477169,357;6019482,941;54,30502416;8,64810373
1205;0;104360037;43,6 + 37;Bad St Peter-Ording;Sp;APO;3474979,215;6020877,151;54,3174465;8,6143421
1206;0;100810067;8,1 + 67;Tiebensee;Sp;ATB;3501317,917;6009900,373;54,21944631;9,01903867
1206;0;101190003;11,9 + 3;Jarrenwisch;Sp;AJHH;3497672,01;6009086,071;54,21212645;8,96315211
1206;0;101390049;13,9 + 49;Wesselburen;Sp;AWBU;3495711,154;6008542,104;54,20722649;8,9331047
1206;0;101560071;15,6 + 71;Suederdeich;Sp;ASDD;3494296,566;6007591,895;54,19867577;8,91144323
1206;0;101770068;17,7 + 68;Reinsbuettel;Sp;ARE;3493935,437;6005601,175;54,18078679;8,90595038
1206;0;102380041;23,8 + 41;Buesum;St;ABSM;3491385,571;6000380,549;54,13384728;8,86704698
1210;0;103060098;30,6 + 98;Elmshorn;St;AEL;3543527,876;5958430,116;53,75520877;9,65876978
1210;0;104340091;43,4 + 91;Herzhorn;Sp;AHZH;3531985,426;5961494,924;53,78357817;9,48410049
1210;0;104740002;47,4 + 2;Glueckstadt;St;AGST;3528315,323;5962013,445;53,78844865;9,42847031
1210;0;105420027;54,2 + 27;Krempe;Sp;AKM;3531788,179;5967109,601;53,83403439;9,4816861
1210;0;105950076;59,5 + 76;Kremperheide;Sp;AKHD;3531654,293;5972395,613;53,8815335;9,48019596
1210;0;106320026;63,2 + 26;Alsen Swch;Swch;AALA;3533192,739;5975553,804;53,9098114;9,50393069
1210;0;106490021;64,9 + 21;Itzehoe;St;AIZ;3533590,564;5977132,019;53,92396475;9,51015687
1210;0;107420060;74,2 + 60;Wilster;St;AWIR;3525236,615;5977338,749;53,9262949;9,38301407
1210;0;108640042;86,4 + 42;Hochdonn;Cro;AHOD;3521138,475;5987081,966;54,0140134;9,32130283
1210;0;109140018;91,4 + 18;Burg (Dithm);Sp;ABR;3516412,926;5986388,654;54,00795554;9,24917932
1210;0;110110024;101,1 + 24;St Michaelisdonn;St;ASD;3507791,27;5984371,659;53,99003479;9,11762651
1210;0;111160085;111,6 + 85;Meldorf;Cro;AMFU;3505258,001;5994469,608;54,08078949;9,07917658
