"id","extralabel","name","latitude","longitude"
"FR0000008184","PrivateSiding","Embt Transport de Savoie","45.5861725","5.8952449"
"FR0000007600","PrivateSiding","Zone Industrielle B","45.5837444","5.8956637"
"FR0000001503","Junction","Bif 903000/903606","45.5832824","5.895673"
"FR0000009487","PrivateSiding","Zone Industrielle A","45.5832644","5.8956735"
"FR0000007892","DepotOrWorkshop","Voies du local 33 à 37","49.3662117","5.8985526"
"FR0000000025","Junction","Bif 001000/051000","47.837183","5.9006941"
"FR0000007929","DepotOrWorkshop","Faisceau impair 3 à 9","47.8371797","5.900863"
"FR0000004698","Station","Brignoud","45.2625333","5.9013043"
"FR0000016405","Junction","Accès à Faisceau V1 à V25 de Liart","49.3656256","5.9021877"
"FR0000011770","Junction","Accès à Faisceau V1 à V25 de Liart","49.3659759","5.9022095"
"FR0000004007","Station","Viviers-du-Lac","45.6485292","5.903201"
"FR9900002132","Junction","Technical change","45.5888716","5.9034431"
"FR9900001469","FreightTerminal","Jussey","47.8369574","5.9036725"
"FR0000016403","TechnicalChange","Fin de ligne exploitée","49.3603599","5.9064419"
"FR0000004666","Station","Montferrand-Thoraise","47.1847244","5.9074492"
"FR0000003533","Station","Hatrize","49.1940796","5.9074907"
"FR9900002379","Junction","Accès à Embt Déposé","46.7505911","5.9075729"
"FR0000008456","PrivateSiding","BSN","48.3065656","5.908359"
"FR0000007953","DepotOrWorkshop","Faisceau V3 et V7","46.7501478","5.9084755"
"FR9900004093","Junction","Bif 897000/900000","45.6913258","5.9086974"
"FR0000007301","DepotOrWorkshop","Faisceau Pair","45.6901699","5.9088591"
"FR0000002761","Station","Aix-les-Bains-Le Revard","45.6887851","5.9091629"
"FR0000012625","Junction","Accès à Faisceau Pair","45.6864878","5.9093765"
"FR0000008029","DepotOrWorkshop","Faisceau Impair","45.6863521","5.9093971"
"FR0000008504","DepotOrWorkshop","Faisceau La Plonge","45.6847593","5.9094703"
"FR9900002124","Junction","Technical change","45.6938348","5.9097967"
"FR0000003137","Station","Champagnole","46.7494953","5.9101837"
"FR9900001986","FreightTerminal","Fort-l'Écluse-Collonges","46.1278263","5.9101837"
"FR0000007335","DepotOrWorkshop","Faisceau Pair Champagnole","46.7494549","5.9102843"
"FR0000002055","Junction","Bif 890000/891000","46.128123","5.9111794"
"FR9900000839","Junction","Accès à Faisceau impair 3 à 9","47.8362218","5.9113349"
"FR0000007567","DepotOrWorkshop","Faisceau impair","46.1284241","5.9120939"
"FR0000006559","PrivateSiding","Le Jouet Français","46.7476094","5.9144812"
"FR0000009504","DepotOrWorkshop","Faisceau Pair","45.577847","5.9146338"
"FR0000022940","Junction","Jct 900000/903000","45.5778933","5.9146964"
"FR0000012674","Junction","Accès à Faisceau Pair Champagnole","46.7474596","5.9147574"
"FR0000015594","Junction","Accès à Faisceau Pair","45.5769802","5.9153727"
"FR0000014209","Junction","Accès à BSN","48.3088161","5.9154634"
"FR9900001095","TechnicalChange","Fin de ligne exploitée","46.1323787","5.9168781"
"FR0000008996","DepotOrWorkshop","Faisceau Impair","45.5752133","5.9169624"
"FR0000002038","Junction","Bif 900000/903000","45.5749202","5.9171958"
"FR0000006254","PrivateSiding","PVF de Contrexeville","48.190759","5.9178684"
"FR0000006460","DepotOrWorkshop","Faisceau Lavage","45.5732161","5.9185568"
"FR0000004614","Station","Paul-Émile-Victor","46.742665","5.9196878"
"FR0000003022","Station","Chambéry-Challes-les-Eaux","45.5711236","5.9199905"
"FR9900003067","PrivateSiding","Embt Déposé","46.8583393","5.9209913"
"FR9900001439","FreightTerminal","Gironcourt-Houécourt","48.3104773","5.9215812"
"FR0000014923","Junction","Accès à Faisceau Impair","45.5694163","5.9218413"
"FR0000009450","DepotOrWorkshop","Faisceau impair 3 à 11","46.8588458","5.9218705"
"FR0000004113","Station","Grésy-sur-Aix","45.7244796","5.9220366"
"FR0000006039","DepotOrWorkshop","Faisceau Impair","45.7258319","5.9222278"
"FR0000001530","Junction","Bif 850000/878000","46.8591264","5.9224719"
"FR9900001119","TechnicalChange","Fin de ligne exploitée","48.3109251","5.9233883"
"FR0000003156","Station","Andelot","46.8596224","5.9235661"
"FR0000008612","DepotOrWorkshop","Faisceau pair VS70 et 72","43.1303613","5.9246572"
"FR9900001166","DepotOrWorkshop","Faisceau pair VS 62 et 64","43.1299311","5.9259885"
"FR0000006006","PrivateSiding","Sapchim","44.2122813","5.9264041"
"FR9900001197","DepotOrWorkshop","Faisceau impair VS13 à 17","43.1293992","5.9272063"
"FR0000015516","Junction","Accès à Faisceau impair 3 à 11","46.8615319","5.9280436"
"FR0000009415","DepotOrWorkshop","Faisceau pair 4 à 10","46.8620292","5.9291782"
"FR0000004329","Station","Toulon","43.1285338","5.9295127"
"FR0000000474","Junction","Bif 852000/871000","47.2256","5.931785"
"FR0000000372","Junction","Bif Rac Côté Lérouville","48.9989667","5.9319483"
"FR0000022950","DepotOrWorkshop","Faisceau Pair VS 30 à 52","43.1274925","5.9323054"
"FR0000001603","Junction","Bif Rac Côté Conflans-Jarny","49.00994","5.9338758"
"FR0000000501","Junction","Bif 930000/930511","43.1269027","5.9339201"
"FR0000006178","DepotOrWorkshop","Faisceau Pair Franois","47.2264334","5.9342138"
"FR9900001190","DepotOrWorkshop","Faisceau impair Vittel","48.2003446","5.9343571"
"FR0000022949","DepotOrWorkshop","Faisceau Pair VS 7 à 11","43.1263777","5.9353375"
"FR0000002194","Station","Valleroy-Moineville","49.2057017","5.9359921"
"FR9900001152","DepotOrWorkshop","Faisceau pair Vittel","48.2012642","5.9374694"
"FR0000002908","Station","Franois","47.2274345","5.937521"
"FR9900000764","Junction","Accès à Faisceau impair Vittel","48.2015091","5.9383445"
"FR0000006672","DepotOrWorkshop","faisceau Croix de Metz","48.7007905","5.9412778"
"FR9900001843","Station","Vittel","48.2025278","5.9419724"
"FR0000004407","Station","La Chaux-des-Crotenay","46.6545777","5.9437998"
"FR9900000773","Junction","Accès à Faisceau pair Vittel","48.2030623","5.9438668"
"FR9900000954","Junction","Accès à Faisceau Pair VS 30 à 52","43.1252274","5.9442121"
"FR0000008215","DepotOrWorkshop","Faisceau impair","44.1924772","5.9453713"
"FR0000002144","Station","Sisteron","44.1901723","5.9467297"
"FR9900000578","Junction","Accès à Faisceau Pair","45.8647555","5.9473769"
"FR0000013869","Junction","Accès à Faisceau impair","44.1887282","5.9475818"
"FR0000004916","Station","Rumilly","45.8630257","5.9481541"
"FR0000006900","PrivateSiding","Embt ONYX","45.7887131","5.9483091"
"FR9900000214","Junction","Accès à Faisceau Pair","45.7864372","5.9484801"
"FR0000003065","Station","Albens","45.7859174","5.9485141"
"FR0000005947","DepotOrWorkshop","Faisceau Pair","45.7830593","5.9487321"
"FR0000007422","DepotOrWorkshop","Faisceau Pair","45.8596361","5.9496967"
"FR0000011772","Junction","Accès à faisceau Croix de Metz","48.7070332","5.9499784"
"FR0000002264","Station","St-Laurent (Jura)","46.5747291","5.9512796"
